file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-006870-26,L1,landlord,Order,dismissed,False,False
LTB-L-006875-26,L1,landlord,Order,withdrawn,False,False
LTB-L-006882-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006885-26,L1,landlord,Order,money_only,False,False
LTB-L-006908-24,L1,landlord,Order,other,False,False
LTB-L-006916-26,L1,landlord,Order,dismissed,False,False
LTB-L-006929-25,L1,landlord,Review Order,other,False,False
LTB-L-006946-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007018-26,L1,landlord,Order,other,False,False
LTB-L-007057-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007071-26,L1,landlord,Order,money_only,False,False
LTB-L-007152-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-007173-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007185-26,L1,landlord,Order,terminated,False,False
LTB-L-007193-25,L1,landlord,Review Order,other,False,False
LTB-L-007212-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007247-26,L1,landlord,Order,other,False,False
LTB-L-007252-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007258-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007259-26,L1,landlord,Order,dismissed,False,False
LTB-L-007280-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007292-26,L1,landlord,Order,other,False,False
LTB-L-007297-26,L1,landlord,Order,money_only,True,False
LTB-L-007316-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007317-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007325-26,L1,landlord,Order,terminated,False,False
LTB-L-007328-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007337-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007359-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007367-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007415-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007456-26,L1,landlord,Order,money_only,True,False
LTB-L-007501-26,L1,landlord,Amended Order,terminated_voidable,False,True
LTB-L-007508-26,L1,landlord,Order,money_only,True,False
LTB-L-007535-23,L1,landlord,Order,terminated,False,False
LTB-L-007535-23,L1,landlord,Amended Order,terminated,False,False
LTB-L-007576-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007578-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007582-26,L1,landlord,Order,other,False,False
LTB-L-007598-26,L1,landlord,Order,money_only,True,False
LTB-L-007603-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007612-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007628-26,L1,landlord,Order,dismissed,False,False
LTB-L-007638-26,L1,landlord,Order,money_only,True,False
LTB-L-007641-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007645-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007654-26,L1,landlord,Order,money_only,True,False
LTB-L-007693-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007699-26,L1,landlord,Order,money_only,True,False
LTB-L-007704-26,L1,landlord,Order,withdrawn,True,False
LTB-L-007741-26,L1,landlord,Amended Order,terminated,False,False
LTB-L-007796-26,L1,landlord,Order,other,False,False
LTB-L-007798-26,L1,landlord,Order,money_only,True,False
LTB-L-007815-26,L1,landlord,Order,money_only,True,False
LTB-L-007825-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007827-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-007837-26,L1,landlord,Order,terminated,True,False
LTB-L-007865-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007877-26,L1,landlord,Order,other,False,False
LTB-L-007881-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-007895-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007906-26,L1,landlord,Order,other,False,False
LTB-L-007917-26,L1,landlord,ExParte Order,other,False,False
LTB-L-007919-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007928-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-007967-26,L1,landlord,Order,money_only,True,False
LTB-L-008022-26,L1,landlord,Order,money_only,True,False
LTB-L-008025-26,L1,landlord,Order,other,False,False
