fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
N1K,13,3,16,1030,15.5,12.6,0.231,110000.0,18.1,50.5,28.1,1864.0,20.3
N1L,18,7,25,1560,16.0,11.5,0.389,114000.0,8.9,35.8,25.18,1638.0,17.2
N1M,32,4,36,1760,20.5,18.2,0.125,95000.0,17.5,40.9,24.39,1354.0,17.1
N1P,1,0,1,340,2.9,2.9,0.0,118000.0,15.4,37.3,13.57,1610.0,16.4
N1R,141,21,164,7090,22.8,19.9,0.149,77000.0,22.0,34.1,40.89,1219.0,19.0
N1S,41,4,46,2295,19.6,17.9,0.098,95000.0,22.7,34.9,29.01,1256.0,15.9
N1T,10,4,14,915,15.3,10.9,0.4,124000.0,14.6,36.8,16.28,1728.0,16.7
N2A,45,14,59,3435,17.2,13.1,0.311,96000.0,19.7,36.2,29.07,1324.0,16.6
N2B,54,11,65,2800,23.2,19.3,0.204,81000.0,24.4,36.9,39.05,1190.0,17.6
N2C,92,8,100,4885,20.5,18.8,0.087,70000.0,20.2,35.7,66.87,1314.0,22.5
N2E,73,10,87,4860,17.1,15.0,0.137,93000.0,16.6,32.5,34.11,1442.0,18.6
N2G,53,19,73,5395,13.3,9.8,0.358,62400.0,21.5,38.5,69.12,1230.0,23.7
N2H,89,18,107,5435,19.7,16.4,0.202,73500.0,20.2,37.6,50.65,1251.0,20.4
N2J,79,26,105,4450,23.6,17.8,0.329,74500.0,18.3,39.8,47.19,1312.0,21.1
N2K,21,11,32,1945,16.5,10.8,0.524,120000.0,12.3,28.4,18.44,1612.0,16.1
N2L,151,69,220,10275,21.4,14.7,0.457,69500.0,14.4,44.5,63.27,1404.0,24.2
N2M,210,20,230,8330,27.6,25.2,0.095,71500.0,22.0,35.2,53.64,1247.0,20.9
N2N,30,4,34,1580,21.5,19.0,0.133,108000.0,15.1,31.7,17.5,1600.0,17.8
N2P,57,16,74,2035,35.9,28.0,0.281,110000.0,15.7,38.9,24.03,1604.0,17.5
N2R,21,7,28,1135,24.7,18.5,0.333,116000.0,11.3,40.9,20.05,2008.0,20.8
N2T,11,8,21,1060,17.9,10.4,0.727,127000.0,12.8,32.4,15.09,1624.0,15.3
N2V,14,7,21,875,24.0,16.0,0.5,126000.0,10.3,37.0,13.93,1904.0,18.1
N2Z,14,2,16,1005,15.9,13.9,0.143,103000.0,14.4,32.3,19.48,1146.0,13.4
N3A,16,3,19,955,19.9,16.8,0.188,111000.0,18.7,28.9,15.23,1176.0,12.7
N3B,5,0,5,830,6.0,6.0,0.0,107000.0,24.1,30.9,17.58,1112.0,12.5
N3C,22,14,36,1525,23.6,14.4,0.636,114000.0,15.5,32.6,16.09,1466.0,15.4
N3E,4,2,6,280,21.4,14.3,0.5,121000.0,0.0,42.1,35.9,2460.0,24.4
N3H,75,11,86,3705,23.2,20.2,0.147,82000.0,23.8,37.2,38.1,1248.0,18.3
N3L,20,6,26,1085,24.0,18.4,0.3,102000.0,16.6,37.2,16.56,1376.0,16.2
N3P,17,1,18,800,22.5,21.2,0.059,92000.0,22.2,35.0,24.88,1226.0,16.0
N3R,86,3,92,4340,20.5,19.8,0.035,83000.0,21.7,40.8,29.46,1235.0,17.9
N3S,100,12,112,4435,25.3,22.5,0.12,68500.0,28.1,37.5,38.57,1100.0,19.3
N3T,148,23,171,4670,36.6,31.7,0.155,86000.0,24.1,39.7,33.66,1226.0,17.1
N3V,3,0,3,50,60.0,60.0,0.0,109000.0,0.0,27.3,8.85,1600.0,17.6
N3W,22,1,23,735,31.3,29.9,0.045,111000.0,11.3,38.9,13.14,1444.0,15.6
N3Y,32,6,38,2445,15.5,13.1,0.188,77500.0,22.0,39.6,24.66,1039.0,16.1
N4B,5,0,5,650,7.7,7.7,0.0,78000.0,13.5,23.3,19.43,924.0,14.2
