"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Population and dwelling counts: Canada and forward sortation areas ©","98100019",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001901",1,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","2","All persons, 2021 Census – 100% data","Population and dwelling counts (3)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
"1","Geographic name",,,""
"2","Population and dwelling counts (3)",,,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
"1","B2X","[B2X]","82","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2Y","[B2Y]","83","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2Z","[B2Z]","84","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3A","[B3A]","85","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3B","[B3B]","86","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3E","[B3E]","87","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3G","[B3G]","88","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3H","[B3H]","89","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3J","[B3J]","90","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3K","[B3K]","91","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3L","[B3L]","92","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3M","[B3M]","93","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3N","[B3N]","94","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B3P","[B3P]","95","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
