REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,G3K,2021A0011G3K,286,20396,,8121,,7961,
2021,G3L,2021A0011G3L,287,11103,,5743,,4970,
2021,G3M,2021A0011G3M,288,7436,,3410,,3300,
2021,G3N,2021A0011G3N,289,11114,,5037,,4473,
2021,G3S,2021A0011G3S,290,6647,,2511,,2397,
2021,G3Z,2021A0011G3Z,291,7371,,3782,,3427,
2021,G4A,2021A0011G4A,292,3063,,1489,,1428,
2021,G4R,2021A0011G4R,293,20327,,10109,,8958,
2021,G4S,2021A0011G4S,294,4931,,2266,,2159,
2021,G4T,2021A0011G4T,295,12654,,6665,,5830,
2021,G4V,2021A0011G4V,296,6288,,3463,,3121,
2021,G4W,2021A0011G4W,297,13988,,7483,,6997,
2021,G4X,2021A0011G4X,298,15063,,7352,,6780,
2021,G4Z,2021A0011G4Z,299,9389,,4782,,4379,
2021,G5A,2021A0011G5A,300,8283,,4582,,3843,
2021,G5B,2021A0011G5B,301,5976,,2919,,2642,
2021,G5C,2021A0011G5C,302,11390,,5547,,5231,
2021,G5H,2021A0011G5H,303,6974,,3433,,3257,
2021,G5J,2021A0011G5J,304,6010,,3035,,2855,
2021,G5L,2021A0011G5L,305,28733,,15887,,14824,
2021,G5M,2021A0011G5M,306,8829,,3884,,3802,
2021,G5N,2021A0011G5N,307,8375,,3657,,3525,
2021,G5R,2021A0011G5R,308,20118,,10045,,9482,
2021,G5T,2021A0011G5T,309,2884,,1518,,1385,
2021,G5V,2021A0011G5V,310,10999,,5801,,5464,
2021,G5X,2021A0011G5X,311,6181,,2874,,2722,
2021,G5Y,2021A0011G5Y,312,23088,,11764,,11252,
2021,G5Z,2021A0011G5Z,313,7603,,3408,,3281,
2021,G6A,2021A0011G6A,314,2546,,1000,,993,
2021,G6B,2021A0011G6B,315,8404,,4432,,4052,
2021,G6C,2021A0011G6C,316,7959,,3512,,3382,
2021,G6E,2021A0011G6E,317,13110,,5618,,5489,
2021,G6G,2021A0011G6G,318,20356,,10330,,9609,
2021,G6H,2021A0011G6H,319,7097,,3413,,3208,
2021,G6J,2021A0011G6J,320,10627,,4358,,4256,
2021,G6K,2021A0011G6K,321,8237,,3236,,3191,
2021,G6L,2021A0011G6L,322,15293,,7452,,7003,
2021,G6P,2021A0011G6P,323,29578,,15475,,14480,
2021,G6R,2021A0011G6R,324,4702,,1834,,1797,
2021,G6S,2021A0011G6S,325,5384,,2370,,2205,
2021,G6T,2021A0011G6T,326,11201,,4647,,4558,
2021,G6V,2021A0011G6V,327,32034,,16976,,15915,
2021,G6W,2021A0011G6W,328,25242,,12252,,11837,
2021,G6X,2021A0011G6X,329,9307,,4796,,4625,
2021,G6Y,2021A0011G6Y,330,7232,,3071,,2995,
2021,G6Z,2021A0011G6Z,331,23582,,9564,,9392,
2021,G7A,2021A0011G7A,332,25429,,10423,,10142,
2021,G7B,2021A0011G7B,333,17614,,8450,,8075,
2021,G7G,2021A0011G7G,334,16414,,7383,,7168,
2021,G7H,2021A0011G7H,335,28684,,15376,,14395,
2021,G7J,2021A0011G7J,336,14443,,7388,,7078,
2021,G7K,2021A0011G7K,337,762,,381,,374,
2021,G7N,2021A0011G7N,338,6389,,2739,,2629,
2021,G7P,2021A0011G7P,339,7418,,3278,,3097,
2021,G7S,2021A0011G7S,340,19807,,8818,,8550,
2021,G7T,2021A0011G7T,341,1640,,720,,706,
2021,G7X,2021A0011G7X,342,25550,,13829,,12829,
2021,G7Y,2021A0011G7Y,343,628,,300,,289,
2021,G7Z,2021A0011G7Z,344,2638,,1094,,1078,
2021,G8A,2021A0011G8A,345,6033,,2845,,2710,
2021,G8B,2021A0011G8B,346,22060,,10927,,10359,
2021,G8C,2021A0011G8C,347,4412,,1888,,1867,
2021,G8E,2021A0011G8E,348,3837,,1665,,1577,
2021,G8G,2021A0011G8G,349,4121,,2075,,1806,
2021,G8H,2021A0011G8H,350,10040,,4946,,4612,
2021,G8J,2021A0011G8J,351,4259,,2529,,1884,
2021,G8K,2021A0011G8K,352,10089,,5169,,4686,
2021,G8L,2021A0011G8L,353,14282,,7227,,6518,
2021,G8M,2021A0011G8M,354,5173,,2369,,2250,
2021,G8N,2021A0011G8N,355,2511,,1263,,1082,
2021,G8P,2021A0011G8P,356,7310,,3590,,3222,
2021,G8T,2021A0011G8T,357,27831,,14646,,14025,
2021,G8V,2021A0011G8V,358,9956,,4242,,4163,
2021,G8W,2021A0011G8W,359,11010,,4962,,4785,
2021,G8Y,2021A0011G8Y,360,33298,,16364,,15794,
2021,G8Z,2021A0011G8Z,361,13972,,7785,,6983,
2021,G9A,2021A0011G9A,362,20399,,12524,,11508,
2021,G9B,2021A0011G9B,363,18680,,8252,,7961,
2021,G9C,2021A0011G9C,364,4017,,1636,,1603,
2021,G9H,2021A0011G9H,365,13559,,6345,,6033,
2021,G9N,2021A0011G9N,366,16125,,9676,,8702,
2021,G9P,2021A0011G9P,367,11567,,5881,,5627,
2021,G9R,2021A0011G9R,368,2324,,1058,,991,
2021,G9T,2021A0011G9T,369,15940,,8679,,8003,
2021,G9X,2021A0011G9X,370,10610,,6133,,5258,
2021,H1A,2021A0011H1A,371,33158,,14941,,14532,
2021,H1B,2021A0011H1B,372,20651,,9718,,9442,
2021,H1C,2021A0011H1C,373,15085,,4930,,4856,
2021,H1E,2021A0011H1E,374,42568,,17190,,16674,
2021,H1G,2021A0011H1G,375,50989,,21276,,20282,
2021,H1H,2021A0011H1H,376,37847,,17094,,16134,
2021,H1J,2021A0011H1J,377,10587,,4928,,4797,
2021,H1K,2021A0011H1K,378,37304,,15402,,14843,
2021,H1L,2021A0011H1L,379,34612,,17646,,16735,
2021,H1M,2021A0011H1M,380,29352,,14536,,13806,
2021,H1N,2021A0011H1N,381,24444,,12731,,12046,
2021,H1P,2021A0011H1P,382,18118,,7662,,7370,
2021,H1R,2021A0011H1R,383,31259,,12416,,11848,
2021,H1S,2021A0011H1S,384,26715,,11089,,10622,
2021,H1T,2021A0011H1T,385,31318,,16461,,15569,
2021,H1V,2021A0011H1V,386,21908,,12588,,11829,
2021,H1W,2021A0011H1W,387,30004,,17687,,16602,
2021,H1X,2021A0011H1X,388,30178,,16827,,15800,
2021,H1Y,2021A0011H1Y,389,29286,,16145,,15217,
2021,H1Z,2021A0011H1Z,390,36487,,14837,,14071,
2021,H2A,2021A0011H2A,391,19454,,9248,,8753,
2021,H2B,2021A0011H2B,392,18049,,9341,,8728,
2021,H2C,2021A0011H2C,393,17976,,9001,,8502,
2021,H2E,2021A0011H2E,394,23507,,12660,,11754,
2021,H2G,2021A0011H2G,395,22115,,12862,,12002,
2021,H2H,2021A0011H2H,396,14728,,8542,,7953,
2021,H2J,2021A0011H2J,397,27028,,16179,,14975,
