fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
L1E,40,33,7,0,17,5,6,3,2,1,28325.0,14.12,11.65,2.47
P0L,32,26,6,0,25,0,1,2,3,0,22859.0,14.0,11.37,2.62
K1E,20,17,3,0,7,3,3,0,0,2,14508.0,13.79,11.72,2.07
L3Z,56,44,12,0,20,8,7,4,1,1,41072.0,13.63,10.71,2.92
L7C,46,37,9,0,18,5,5,2,1,2,33846.0,13.59,10.93,2.66
L1K,59,45,11,3,18,7,6,5,0,1,43574.0,13.54,10.33,2.52
N5H,21,19,0,2,10,3,4,0,0,0,15625.0,13.44,12.16,0.0
N2N,35,31,4,0,25,1,1,3,0,1,26596.0,13.16,11.66,1.5
L5N,110,84,25,1,46,13,18,9,2,10,83700.0,13.14,10.04,2.99
L7J,18,12,6,0,4,4,1,1,2,1,13766.0,13.08,8.72,4.36
K1W,18,13,5,0,3,4,1,4,0,1,13825.0,13.02,9.4,3.62
L9L,19,15,2,2,7,3,4,1,0,0,14620.0,13.0,10.26,1.37
L5M,138,112,26,0,51,25,9,7,4,9,106468.0,12.96,10.52,2.44
N3A,22,19,3,0,12,4,3,2,0,1,17045.0,12.91,11.15,1.76
L9B,32,26,5,1,20,2,3,3,0,0,25025.0,12.79,10.39,2.0
L1T,67,53,14,0,16,18,10,4,3,0,52632.0,12.73,10.07,2.66
K0M,68,58,10,0,34,7,7,2,2,1,53815.0,12.64,10.78,1.86
N2K,37,25,12,0,13,3,7,3,2,1,29381.0,12.59,8.51,4.08
L6C,65,46,19,0,18,14,6,1,1,7,51738.0,12.56,8.89,3.67
L4B,45,29,13,3,11,9,4,2,1,3,36080.0,12.47,8.04,3.6
L0S,75,58,17,0,33,9,6,7,3,1,60409.0,12.42,9.6,2.81
L8J,36,33,3,0,23,2,5,2,0,0,29146.0,12.35,11.32,1.03
M1X,18,13,5,0,5,4,1,3,1,0,14810.0,12.15,8.78,3.38
L7P,36,34,2,0,19,6,9,1,0,0,29777.0,12.09,11.42,0.67
N4W,16,13,3,0,7,5,1,0,0,2,13311.0,12.02,9.77,2.25
L0K,46,34,12,0,21,6,5,3,2,0,38386.0,11.98,8.86,3.13
L4G,74,51,19,4,21,10,12,8,3,3,62061.0,11.92,8.22,3.06
L4S,43,36,7,0,20,6,3,1,2,3,36688.0,11.72,9.81,1.91
N7W,3,2,1,0,2,0,0,0,0,0,2578.0,11.64,7.76,3.88
P3Y,9,6,3,0,3,2,1,3,0,0,7757.0,11.6,7.73,3.87
K2J,95,74,21,0,34,9,18,6,1,11,81863.0,11.6,9.04,2.57
L0G,52,49,3,0,21,15,4,0,1,1,44945.0,11.57,10.9,0.67
N0M,80,69,11,0,29,15,13,4,3,1,69177.0,11.56,9.97,1.59
M2H,27,20,7,0,8,8,0,2,0,3,23396.0,11.54,8.55,2.99
K0C,61,51,10,0,24,2,17,4,1,1,52838.0,11.54,9.65,1.89
N9V,25,22,1,2,11,8,1,0,0,0,21688.0,11.53,10.14,0.46
K7G,10,10,0,0,6,1,2,0,0,0,8740.0,11.44,11.44,0.0
L6M,83,57,25,1,29,10,8,6,2,3,72547.0,11.44,7.86,3.45
P8N,11,7,4,0,4,1,0,3,0,0,9619.0,11.44,7.28,4.16
L4L,63,57,6,0,31,8,7,4,1,1,55426.0,11.37,10.28,1.08
N2V,22,15,7,0,3,7,0,3,1,1,19428.0,11.32,7.72,3.6
K4A,69,55,14,0,31,6,6,5,2,4,62125.0,11.11,8.85,2.25
