csduid,name,population
3560063,Sabaskong Bay 35D,383
3551028,Burpee and Mills,382
3557004,Hilton,382
3558034,Dorion,375
3551041,Sucker Creek 23,373
3552031,Nairn and Hyman,373
3558062,Pic River 50,372
3549073,Parry Island First Nation,367
3560078,Fort Severn 89,364
3560086,Summer Beaver,355
3554006,Latchford,355
3557072,Serpent River 7,351
3554042,James,348
3515008,Hiawatha First Nation,341
3554029,Casey,341
3554024,Kerns,330
3536029,Moravian 47,328
3557001,Jocelyn,314
3554054,Chamberlain,311
3559047,Lake of the Woods,308
3559026,Manitou Rapids 11,300
3560046,Slate Falls,299
3558097,Whitesand,297
3549051,Joly,293
3559066,Seine River 23A,270
3554056,Matachewan,268
3547098,"Head, Clara and Maria",267
3560080,North Spirit Lake,265
3560024,Eagle Lake 27,257
3559051,Big Grassy River 35G,251
3560091,Peawanuck,247
3548072,Bear Island 1,244
3560093,Neskantaga,244
3560052,Marten Falls 65,243
3558064,Lake Helen 53A,240
3559068,Rainy Lake 17A,234
3558085,Osnaburgh 63A,233
3519076,Chippewas of Georgina Island First Nation,231
3537001,Pelee,230
3551094,"Manitoulin, Unorganized, West Part",219
3554034,Hilliard,215
3544073,Moose Point 79,213
3552052,Mattagami 71,210
3549077,Dokis 9,201
3556073,Opasatika,200
3558067,Ginoogaming First Nation,200
3557006,Hilton Beach,198
3560089,The Dalles 38C,180
3549095,"Parry Sound, Unorganized, North East Part",179
3558076,Aroland,178
3560057,Wabigoon Lake 27,175
3560069,Rat Portage 38A,171
3528035,New Credit (Part) 40A,166
3559064,Rainy Lake 26A,158
3551042,Sheguiandah 24,158
3556033,Abitibi 70,156
3549072,Shawanaga 17,155
3552054,Duck Lake 76B,154
3558069,Rocky Bay 1,154
3548019,Mattawan,153
3554066,Gauthier,151
3557026,Thessalon 12,151
3558060,Pic Mobert North,138
3549076,French River 13,137
3559053,Saug-A-Gaw-Sing 1,136
3539018,Munsee-Delaware Nation 1,129
3556102,New Post 69A,128
3551044,Sheshegwaning 20,127
3558061,Pic Mobert South,127
3518022,Mississaugas of Scugog Island,125
3560083,Whitefish Bay 34A,125
3559061,Rainy Lake 18C,125
3553040,Wahnapitei 11,124
3559060,Neguaguon Lake 25D,118
3558065,Gull River 55,110
3554032,Brethour,105
3548091,"Nipissing, Unorganized, South Part",102
3549078,Magnetewan 1,102
3558063,Pays Plat 51,100
3560082,Shoal Lake (Part) 40,96
3560005,Whitefish Bay 33A,94
3554038,Thornloe,92
3558080,Ojibway Nation of Saugeen (Savant Lake),88
3560064,Shoal Lake 34B2,81
3554057,Matachewan 72,66
3557078,Gros Cap 49,63
3552056,Chapleau Cree Fox Lake,62
3560084,Wabauskang 21,57
3560060,Northwest Angle 33B,52
3560065,Lake of the Woods 37,49
3551100,Zhiibaahaasing 19A,41
3543070,Christian Island 30A,30
3556098,"Cochrane, Unorganized, South East Part",25
3552053,Chapleau 74A,17
3560100,Wawakapewin,16
3551034,Cockburn Island,16
3549075,Henvey Inlet 2,15
3541056,Chief's Point No. 28,15
3559089,Sturgeon Falls 23,10
3559052,Big Island Mainland 93,5
3557094,"Algoma, Unorganized, South East Part",5
3556091,"Cochrane, Unorganized, South West Part",5
3552037,Point Grondine 3,5
3559069,Rainy Lake 17B,5
3554091,"Timiskaming, Unorganized, East Part",5
3558074,Sand Point First Nation,5
3549093,Naiscoutaing 17A,0
3559046,Assabaska,0
3559062,Agency 1,0
3552058,Chapleau 75,0
3560081,Lansdowne House,0
3556096,Moose Factory 68,0
3558100,Lac des Mille Lacs 22A1,0
3556100,Flying Post 73,0
3558092,Red Rock 53,0
3558077,Lake Nipigon,0
