csduid,name,fsa_count,population,households_renter,total_applications,landlord_filed,tenant_filed,coop_filed,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k,total_applications_per_1k_renter,landlord_filed_per_1k_renter,tenant_filed_per_1k_renter
3539036,London,14.5,422324,68852,1814.8,1574.6,214.3,25.9,42.97,37.28,5.07,26.36,22.87,3.11
3542053,Georgian Bluffs,0.51,11100,2091,47.3,40.3,7.0,0.0,42.63,36.29,6.34,22.63,19.26,3.37
3529005,Brant,2.29,39474,5046,166.2,140.7,25.4,0.0,42.1,35.65,6.44,32.93,27.89,5.04
3526043,Niagara Falls,4.28,94415,12224,390.4,321.0,63.2,6.2,41.35,34.0,6.69,31.94,26.26,5.17
3510010,Kingston,4.01,132485,25146,531.6,462.9,67.7,1.0,40.13,34.94,5.11,21.14,18.41,2.69
3510045,North Frontenac,0.23,2285,414,9.1,7.5,1.6,0.0,39.65,32.72,6.94,21.89,18.06,3.83
3530035,Woolwich,1.97,26999,4930,105.0,79.6,25.4,0.0,38.91,29.48,9.43,21.31,16.15,5.16
3522001,East Garafraxa,0.24,2794,773,10.8,6.7,2.9,1.2,38.67,24.06,10.31,13.98,8.7,3.73
3511035,Addington Highlands,0.24,2534,446,9.8,8.1,1.7,0.0,38.51,31.77,6.74,21.91,18.07,3.83
3525005,Hamilton,21.7,569353,77616,2172.3,1845.5,313.3,13.5,38.15,32.41,5.5,27.99,23.78,4.04
3512065,Carlow/Mayo,0.05,953,203,3.6,3.1,0.6,0.0,38.08,32.26,5.82,17.91,15.18,2.74
3522008,Amaranth,0.36,4327,858,16.3,11.4,3.7,1.2,37.59,26.43,8.48,18.95,13.32,4.28
3515023,Douro-Dummer,0.26,7632,1217,28.7,24.1,4.5,0.1,37.55,31.55,5.84,23.55,19.79,3.66
3538031,Point Edward,0.26,1930,425,7.2,5.7,1.5,0.0,37.53,29.58,7.9,17.04,13.43,3.59
3549095,"Parry Sound, Unorganized, North East Part",0.04,179,43,0.7,0.6,0.1,0.0,37.36,32.66,4.7,,,
3544027,Lake of Bays,0.61,3759,758,13.8,11.6,2.1,0.0,36.63,30.94,5.69,18.16,15.34,2.82
3544065,Georgian Bay,0.31,3441,464,12.6,9.3,3.3,0.0,36.62,27.1,9.52,27.16,20.1,7.06
3512030,Tweed,0.17,6067,1142,22.2,17.7,4.5,0.0,36.55,29.13,7.42,19.42,15.48,3.95
3554056,Matachewan,0.04,268,36,1.0,0.9,0.1,0.0,36.17,33.39,2.79,,,
3543050,Chippewas of Rama First Nation,0.02,998,109,3.6,3.0,0.6,0.0,36.01,30.04,5.79,32.94,27.48,5.29
3514019,Hamilton,0.75,11059,2320,39.8,32.7,7.1,0.0,36.0,29.6,6.4,17.16,14.11,3.05
3560090,"Kenora, Unorganized",3.77,7475,2121,26.9,17.7,9.2,0.0,35.98,23.63,12.35,12.68,8.33,4.35
3519049,King,1.77,27333,3923,98.1,77.0,20.5,0.6,35.89,28.17,7.51,25.0,19.63,5.23
3530013,Kitchener,10.22,256885,39931,920.1,778.1,134.9,7.1,35.82,30.29,5.25,23.04,19.49,3.38
3549003,Seguin,0.68,5280,925,18.9,14.9,4.0,0.0,35.76,28.22,7.54,20.41,16.11,4.3
3509024,Beckwith,0.78,9021,1461,31.5,28.4,3.1,0.0,34.92,31.48,3.44,21.56,19.43,2.12
3526057,Lincoln,0.56,25719,3018,89.8,77.7,11.7,0.4,34.91,30.19,4.55,29.74,25.73,3.87
3549031,McDougall,0.29,2744,456,9.5,7.5,2.0,0.0,34.69,27.33,7.36,20.89,16.46,4.43
3543015,Severn,0.92,14576,1542,50.4,42.0,8.2,0.2,34.57,28.81,5.61,32.69,27.25,5.31
3556098,"Cochrane, Unorganized, South East Part",0.0,25,3,0.1,0.1,0.0,0.0,34.55,31.89,2.66,,,
3538015,Brooke-Alvinston,0.2,2359,486,8.1,6.3,1.8,0.0,34.38,26.85,7.53,16.69,13.03,3.66
3512005,Belleville,1.48,55071,6786,188.3,155.7,31.6,0.9,34.19,28.27,5.75,27.74,22.95,4.66
3549039,Whitestone,0.23,1075,239,3.7,3.2,0.5,0.0,34.13,29.86,4.26,15.37,13.45,1.92
3538030,Sarnia,3.6,72047,9008,245.4,194.8,49.7,0.9,34.07,27.04,6.9,27.25,21.63,5.52
3551094,"Manitoulin, Unorganized, West Part",0.08,219,111,0.7,0.6,0.2,0.0,33.43,26.0,7.43,6.59,5.13,1.47
3526032,Welland,1.44,55750,5482,184.4,154.0,30.0,0.5,33.08,27.62,5.39,33.65,28.09,5.48
3542004,West Grey,1.21,13131,1988,43.3,34.1,9.2,0.0,32.97,25.99,6.97,21.77,17.17,4.61
3556027,Timmins,4.0,41145,5921,132.9,109.9,19.0,4.0,32.3,26.72,4.61,22.45,18.56,3.21
3512015,Quinte West,2.33,46560,5637,149.6,127.6,21.5,0.6,32.13,27.4,4.61,26.54,22.63,3.81
3526053,St. Catharines,6.56,136803,18355,439.3,359.0,71.8,8.5,32.12,26.24,5.25,23.94,19.56,3.91
3547003,McNab/Braeside,0.84,7591,1610,24.4,20.5,3.9,0.0,32.12,27.02,5.09,15.14,12.74,2.4
3540063,Ashfield-Colborne-Wawanosh,0.84,5884,1568,18.6,14.4,4.2,0.0,31.6,24.4,7.19,11.86,9.16,2.7
3538016,Enniskillen,0.21,2825,529,8.8,6.9,1.9,0.0,31.25,24.41,6.84,16.7,13.04,3.66
3506008,Ottawa,40.49,1017449,146750,3138.2,2633.6,485.7,18.9,30.84,25.88,4.77,21.38,17.95,3.31
3548055,West Nipissing / Nipissing Ouest,1.22,14583,2694,43.4,35.9,7.5,0.0,29.77,24.61,5.16,16.11,13.32,2.79
3543064,Wasaga Beach,1.0,24862,1570,74.0,64.0,10.0,0.0,29.76,25.74,4.02,47.13,40.76,6.37
3530016,Waterloo,3.95,121436,14899,346.1,239.9,104.3,1.9,28.5,19.76,8.59,23.23,16.1,7.0
3512036,Madoc,0.05,2233,326,6.3,5.0,1.3,0.0,28.38,22.61,5.76,19.42,15.48,3.95
3512054,Wollaston,0.03,721,114,2.0,1.7,0.3,0.0,28.28,23.96,4.32,17.93,15.19,2.74
