fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
P4N,24098,10985,6750,4235,38.55,73500,65000,4230,17.6,32.5,18.8,940,940,15.3
P4P,3232,1350,920,430,31.85,101000,87000,430,37.2,17.9,11.9,980,980,11.6
P4R,4795,1740,1415,325,18.68,116000,99000,320,20.3,25,9.4,1000,1020,10.6
P5A,11372,5840,3545,2290,39.21,50000,47600,2295,13.1,34.9,27.7,800,822,19.7
P5E,5427,2435,1880,560,23,78500,69000,555,18.9,35.1,22,930,924,14.1
P5N,8260,3870,2590,1275,32.95,69000,62000,1280,23.4,26,11.2,745,738,12.8
P6A,33800,15020,10350,4540,30.23,78000,69500,4510,21.8,35.5,18.1,870,890,13.7
P6B,22754,10420,6745,3670,35.22,69000,62400,3670,26.6,33.4,13.1,900,919,16
P6C,18766,8525,6330,2195,25.75,71500,64500,2195,14.8,32.2,17.1,890,930,15.6
P7A,28587,13325,9215,4110,30.84,78500,70000,4110,20.9,30.5,19.9,1010,1042,15.9
P7B,22675,10225,5630,4600,44.99,70000,62800,4605,23.6,29.1,16.7,1000,997,17.1
P7C,21695,9585,6550,3035,31.66,72500,65000,3035,23.4,30.5,22.1,930,968,16
P7E,20897,9890,6235,3655,36.96,68500,61200,3655,24.6,32,22.3,930,956,16.7
P7G,13238,5095,4775,320,6.28,117000,100000,320,10.9,27,22.6,990,990,10.2
P7J,4859,1785,1640,80,4.48,114000,99000,45,0,0,0,870,950,10
P7K,6801,2675,2545,135,5.05,118000,100000,135,0,22.2,11.5,960,1100,11.2
P7L,2188,920,870,50,5.43,94000,82000,50,0,0,0,665,760,9.7
P8N,9619,4310,3190,1045,24.25,83000,73500,1040,25,25.5,17.4,840,890,12.9
P8T,5541,2190,1445,745,34.02,103000,90000,740,29.1,24.5,11.7,1150,1132,13.2
P9A,10079,4430,3240,995,22.46,82000,72500,975,33.3,24.2,18.3,800,826,12.1
P9N,14088,6085,4230,1640,26.95,83000,73500,1635,20.8,37.2,17,1060,1075,15.5
